DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
 21,19420218,    0,     ,
 21,19420219,    0,     ,
 21,19420220,    0,     ,
 21,19420221,    0,     ,
 21,19420222,    0,     ,
 21,19420223,    0,     ,
 21,19420224,    0,     ,
 21,19420225,    0,     ,
 21,19420226,   56,     ,
 21,19420227,    0,     ,
 21,19420228,    0,     ,
 21,19420301,    0,     ,
 21,19420302,    0,     ,
 21,19420303,    0,     ,
 21,19420304,    0,     ,
 21,19420305,   90,     ,
 21,19420306,    0,     ,
 21,19420307,    0,     ,
 21,19420308,    0,     ,
 21,19420309,    0,     ,
 21,19420310,    0,     ,
 21,19420311,    0,     ,
 21,19420312,    0,     ,
 21,19420313,    0,     ,
 21,19420314,    0,     ,
 21,19420315,   14,     ,
 21,19420316,    0,     ,
 21,19420317,    0,     ,
 21,19420318,  134,     ,
 21,19420319,    5,     ,
 21,19420320,    0,     ,
 21,19420321,    0,     ,
 21,19420322,    0,     ,
 21,19420323,   28,     ,
 21,19420324,    0,     ,
 21,19420325,    0,     ,
 21,19420326,    0,     ,
 21,19420327,    0,     ,
 21,19420328,    0,     ,
 21,19420329,    0,     ,
 21,19420330,    0,     ,
 21,19420331,   16,     ,
 21,19420401,   98,     ,
 21,19420402,    0,     ,
 21,19420403,    0,     ,
 21,19420404,    0,     ,
 21,19420405,   37,     ,
 21,19420406,   11,     ,
 21,19420407,   29,     ,
 21,19420408,    0,     ,
 21,19420409,    0,     ,
 21,19420410,   61,     ,
 21,19420411,   26,     ,
 21,19420412,    0,     ,
 21,19420413,    0,     ,
 21,19420414,    0,     ,
 21,19420415,    0,     ,
 21,19420416,    0,     ,
 21,19420417,    0,     ,
 21,19420418,    0,     ,
 21,19420419,    0,     ,
 21,19420420,    0,     ,
 21,19420421,    0,     ,
 21,19420422,    0,     ,
 21,19420423,    0,     ,
 21,19420424,    0,     ,
 21,19420425,    0,     ,
 21,19420426,    0,     ,
 21,19420427,    0,     ,
 21,19420428,    0,     ,
 21,19420429,    0,     ,
 21,19420430,    0,     ,
 21,19420501,    0,     ,
 21,19420502,    0,     ,
 21,19420503,    0,     ,
 21,19420504,    0,     ,
 21,19420505,    0,     ,
 21,19420506,    0,     ,
 21,19420507,    0,     ,
 21,19420508,    0,     ,
 21,19420509,    0,     ,
 21,19420510,    0,     ,
 21,19420511,    0,     ,
 21,19420512,   46,     ,
 21,19420513,    0,     ,
 21,19420514,    0,     ,
 21,19420515,    0,     ,
 21,19420516,    0,     ,
 21,19420517,   64,     ,
 21,19420518,    0,     ,
 21,19420519,    6,     ,
 21,19420520,    0,     ,
 21,19420521,    0,     ,
 21,19420522,    0,     ,
 21,19420523,    0,     ,
 21,19420524,   57,     ,
 21,19420525,    0,     ,
 21,19420526,   43,     ,
 21,19420527,   66,     ,
 21,19420528,    0,     ,
 21,19420529,   35,     ,
 21,19420530,    1,     ,
 21,19420531,   14,     ,
 21,19420601,    0,     ,
 21,19420602,    0,     ,
 21,19420603,    0,     ,
 21,19420604,    0,     ,
 21,19420605,    0,     ,
 21,19420606,    0,     ,
 21,19420607,    0,     ,
 21,19420608,    0,     ,
